cuadrante,angulo_deg,errR_cordic_ulp,errR_ref_ulp,errPhi_cordic_ulp,errPhi_ref_ulp
4,-86.267,1,1,0,0
4,-80.067,0,1,0,0
4,-78.164,2,1,1,0
4,-33.039,2,0,1,0
4,-33.891,1,0,1,0
4,-60.735,2,1,0,0
4,-80.490,0,0,0,0
4,-58.926,1,0,0,0
4,-33.796,1,1,2,0
4,-79.717,1,0,2,0
4,-12.073,1,1,1,0
4,-46.258,0,1,0,1
4,-78.034,1,1,1,0
4,-75.854,3,1,2,0
4,-13.775,1,1,2,0
4,-1.172,0,0,1,0
4,-51.724,1,0,0,0
4,-80.977,1,0,3,0
4,-51.771,0,0,0,0
4,-50.123,2,1,2,0
4,-47.150,2,0,2,0
4,-1.203,0,1,2,1
4,-51.325,1,0,0,0
4,-26.267,2,0,1,0
4,-51.633,1,1,0,0
4,-74.138,1,0,0,0
4,-35.979,0,1,1,0
4,-66.285,0,0,1,0
4,-19.842,1,0,0,0
4,-56.889,0,0,0,0
4,-52.877,0,0,1,0
4,-38.149,1,0,0,0
4,-60.913,1,0,2,0
4,-12.725,1,0,2,0
4,-23.736,0,1,0,0
4,-73.047,2,1,1,0
4,-86.003,1,1,0,0
4,-42.592,1,0,1,0
4,-24.015,1,0,2,0
4,-70.701,1,0,1,0
4,-24.952,0,0,1,0
4,-57.511,1,0,1,0
4,-5.166,1,1,0,0
4,-12.243,0,0,0,0
4,-8.252,1,0,1,0
4,-59.288,1,0,1,0
4,-7.943,1,1,1,0
4,-30.833,1,1,0,0
4,-51.662,1,0,0,0
4,-55.884,0,0,1,0
4,-56.208,1,0,0,0
4,-51.109,1,0,2,0
4,-37.577,2,0,2,0
4,-57.474,0,0,1,0
4,-55.003,3,0,0,0
4,-66.905,1,0,2,0
4,-57.305,0,0,0,0
4,-35.920,0,0,2,1
4,-63.132,1,0,2,0
4,-19.194,1,1,1,0
4,-59.886,0,1,3,0
4,-62.596,2,0,0,0
4,-26.553,0,0,1,0
4,-69.793,1,0,1,0
4,-73.463,2,0,1,0
4,-6.707,2,1,1,1
4,-41.507,1,0,0,0
4,-35.098,1,0,1,0
4,-34.669,1,0,0,0
4,-79.486,1,1,1,0
4,-78.743,1,0,1,0
4,-9.110,1,0,1,0
4,-82.680,1,0,0,0
4,-24.315,1,1,1,0
4,-76.951,1,0,2,0
4,-39.558,1,1,3,0
4,-21.204,1,0,0,0
4,-7.842,2,1,2,0
4,-15.552,1,0,0,0
4,-7.091,0,1,1,0
4,-75.838,2,0,1,0
4,-2.312,0,0,2,0
4,-54.047,1,0,1,0
4,-49.101,2,0,3,0
4,-16.723,2,1,0,0
4,-33.034,2,0,1,0
4,-63.706,0,0,3,0
4,-18.928,2,1,1,0
4,-65.264,1,0,0,0
4,-42.898,0,1,1,0
4,-60.719,2,0,1,0
4,-28.302,0,1,2,0
4,-79.932,0,0,0,0
4,-82.219,1,0,0,0
4,-82.428,2,0,1,0
4,-56.699,1,0,1,0
4,-64.674,1,1,1,0
4,-59.063,1,1,0,0
4,-41.560,1,1,1,0
4,-41.172,1,0,0,0
4,-48.170,0,0,1,0
4,-20.009,1,0,1,0
4,-75.830,1,0,0,0
4,-28.886,1,0,1,0
4,-37.259,1,1,1,0
4,-72.187,2,0,1,0
4,-6.450,1,0,1,0
4,-8.968,2,0,0,0
4,-34.160,1,0,1,0
4,-2.635,1,0,0,0
4,-1.963,1,0,1,0
4,-6.675,1,0,2,0
4,-47.311,2,0,2,0
4,-8.290,0,0,1,0
4,-49.023,2,0,0,0
4,-5.509,0,1,1,0
3,-160.711,0,0,2,0
3,-93.849,1,1,0,0
3,-172.677,0,0,1,0
3,-152.719,1,0,1,0
3,-117.217,1,0,1,0
3,-97.516,1,0,0,0
3,-140.719,1,0,1,0
3,-121.434,1,0,1,0
3,-178.002,3,1,0,0
3,-161.218,0,0,2,0
3,-150.979,1,1,0,0
3,-92.875,1,0,2,0
3,-118.896,1,0,0,0
3,-124.833,0,1,3,0
3,-104.906,1,0,1,0
3,-135.677,0,0,2,0
3,-118.286,1,0,1,0
3,-121.700,1,0,1,0
3,-161.238,2,0,2,0
3,-130.174,0,0,1,0
3,-108.811,1,0,0,0
3,-111.845,2,0,2,0
3,-100.951,0,1,1,0
3,-140.862,1,0,0,0
3,-174.396,1,0,0,0
3,-137.426,2,0,3,0
3,-137.369,0,1,2,0
3,-98.447,0,0,1,0
3,-94.744,1,0,0,0
3,-157.620,0,0,1,0
3,-160.731,0,0,2,0
3,-138.507,1,0,1,0
3,-168.329,1,1,0,0
3,-132.579,1,1,2,0
3,-144.349,2,0,1,0
3,-122.446,1,0,1,0
3,-117.295,0,0,0,0
3,-151.917,2,0,2,0
3,-141.809,1,0,0,0
3,-140.936,1,1,0,0
3,-145.921,1,0,2,0
3,-160.069,0,0,0,0
3,-126.484,1,0,1,0
3,-94.735,1,0,1,0
3,-151.074,1,0,1,0
3,-114.625,1,0,1,0
3,-103.929,0,0,0,0
3,-171.179,2,0,1,0
3,-155.419,1,1,1,0
3,-163.528,0,0,1,0
3,-159.156,3,0,1,0
3,-143.249,1,0,1,0
3,-175.222,1,1,1,0
3,-94.417,1,0,0,0
3,-153.467,2,1,3,0
3,-174.929,3,0,2,0
3,-110.549,0,1,2,0
3,-107.768,1,0,1,0
3,-100.789,1,0,0,0
3,-113.464,1,0,0,0
3,-168.470,2,0,3,0
3,-168.514,0,1,1,0
3,-102.826,0,0,1,0
3,-150.343,2,1,1,0
3,-151.051,1,1,1,0
3,-124.954,1,0,2,0
3,-119.201,2,0,2,0
3,-129.213,0,0,1,0
3,-136.666,0,0,2,0
3,-133.436,1,1,2,0
3,-113.733,2,0,0,0
3,-167.660,2,0,1,0
3,-144.007,1,1,0,0
3,-94.241,2,0,2,0
3,-143.458,1,0,2,0
3,-178.328,3,0,2,0
3,-172.884,1,0,0,0
3,-92.750,0,1,0,0
3,-151.413,0,1,0,0
3,-177.147,1,0,0,0
3,-177.443,1,0,1,0
3,-139.954,1,0,3,0
3,-112.811,1,0,0,0
3,-135.638,2,1,4,0
3,-175.587,1,1,0,0
3,-161.452,1,0,0,0
3,-92.285,1,0,2,0
3,-117.940,0,0,1,0
3,-170.518,1,0,1,0
3,-116.465,1,0,1,0
3,-99.965,1,0,1,0
3,-158.029,1,1,0,0
3,-178.562,3,1,1,0
3,-133.969,1,0,0,0
3,-174.621,0,1,0,0
3,-123.573,0,0,0,0
3,-178.386,1,0,1,0
3,-161.676,1,0,0,0
3,-171.392,1,0,0,0
3,-170.325,3,0,1,0
3,-163.312,1,0,1,0
3,-98.558,1,0,3,0
3,-91.150,0,0,1,0
3,-175.282,2,0,1,0
3,-110.153,0,0,0,0
3,-103.121,0,1,0,0
3,-177.209,0,1,2,0
3,-135.098,0,0,1,0
3,-127.558,1,0,1,0
3,-161.067,1,0,1,0
3,-173.056,1,0,2,0
3,-162.256,0,0,1,0
3,-105.102,0,1,1,0
3,-118.785,0,0,0,0
3,-142.083,1,1,1,0
3,-102.053,1,1,1,0
3,-127.614,0,0,0,0
3,-126.282,2,0,0,0
3,-92.309,2,0,0,0
3,-120.464,0,0,1,0
3,-149.008,1,0,1,0
3,-99.442,0,0,1,0
3,-144.216,1,0,1,0
3,-107.210,1,1,1,1
3,-135.146,1,0,1,0
3,-133.399,1,0,2,0
3,-107.410,0,0,1,0
3,-161.757,2,0,1,0
3,-170.981,1,0,3,0
3,-138.943,1,1,1,0
3,-118.839,1,0,1,0
3,-164.830,2,1,3,0
3,-107.336,1,0,0,0
3,-143.210,1,0,1,0
3,-133.512,0,0,1,0
3,-176.813,3,0,0,0
3,-125.167,1,0,1,0
3,-177.695,3,0,0,0
3,-116.079,1,1,0,0
3,-115.560,1,1,2,0
3,-165.381,1,1,1,0
3,-167.028,1,1,1,0
3,-159.317,1,1,3,0
3,-92.934,0,0,1,0
3,-118.921,1,1,0,0
3,-117.471,1,1,2,0
3,-173.700,2,0,1,0
3,-168.432,0,0,1,0
3,-127.259,1,1,1,0
3,-178.033,1,0,1,0
3,-168.397,2,0,2,0
3,-174.198,1,0,2,0
3,-158.669,1,0,2,0
3,-148.820,1,1,0,0
3,-126.947,1,0,1,0
3,-140.537,1,0,0,0
3,-92.116,0,1,1,0
3,-96.191,0,0,2,0
3,-98.451,1,0,1,0
3,-176.111,1,0,0,0
3,-170.596,0,0,0,0
3,-143.549,0,1,2,0
3,-170.743,1,0,1,0
3,-148.600,1,0,0,0
3,-175.317,1,1,0,0
3,-160.234,1,0,1,0
3,-111.954,1,0,2,0
3,-126.075,0,0,0,0
3,-156.109,1,1,1,0
3,-152.985,1,0,1,0
3,-150.972,0,0,2,0
3,-173.216,0,0,1,0
3,-113.334,1,0,0,0
3,-114.713,0,0,1,0
3,-174.354,0,0,2,0
3,-101.447,1,0,2,0
3,-172.747,2,0,0,0
3,-101.919,0,0,1,0
3,-94.595,0,1,0,0
3,-111.904,1,0,0,0
3,-159.073,0,0,1,0
3,-172.601,1,0,1,0
3,-146.689,2,0,0,0
3,-130.056,1,1,0,0
3,-131.008,0,1,3,0
3,-150.418,0,0,1,0
3,-144.953,1,0,2,0
3,-98.198,1,1,0,0
3,-166.269,2,0,0,0
3,-165.229,1,0,0,0
3,-165.066,0,1,1,0
3,-115.819,0,0,0,0
3,-132.203,3,1,1,0
3,-121.648,1,0,1,0
3,-107.920,0,0,1,0
3,-153.579,0,0,3,0
3,-103.233,1,0,1,1
3,-160.156,1,0,0,0
3,-114.112,1,0,3,0
3,-159.016,1,0,0,0
